File Name,Origin,Marketing_authorisation_number,Drug,Non_proprietary_name,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Orphan_drug_status,Indication_requested,Indication_approved,Disease_class(es),Application_date,Nonclinical_pharmacology_species,Nonclinical_pharmacology_strain,Nonclinical_pharmacology_model,Nonclinical_pharmacokinetics_species,Nonclinical_pharmacokinetics_strain,Nonclinical_pharmacokinetics_model,Nonclinical_toxicology_species,Nonclinical_toxicology_strain,Nonclinical_toxicology_model
abylqis-withdrawal-assessment-report_en.pdf,EMA,EMA/772201/2021,Abylqis,arachis hypogaea extract,Biologics,cutaneous patch,epicutaneous,withdrawn,withdrawn,17.12.2020,no,epicutaneous immunotherapy (EPIT) for the treatment of peanut allergy in children aged 4 to 11 years,same,Diseases of the immune system,N/A,"mouse, minipig, guinea pig",Not reported,Not reported,mouse,Not reported,Not reported,"guinea pig, mouse, rat, rabbit",Not reported,Not reported
accofil-epar-public-assessment-report_en.pdf,EMA,EMA/CHMP/603430/2014,Accofil,filgrastim,Biologics,solution for injection,"subcutaneous, intravenous",approved,authorised,24.07.2014,no,for the reduction in the duration of neutropenia and the incidence of febrile neutropenia in patients treated with established cytotoxic chemotherapy for malignancy,same,Diseases of the blood and blood-forming organs,24.03.2014,"mouse, rat","BALB/c mouse, Wistar rat",Not reported,"rat, mouse","Wistar rat, BALB/c mouse",Not reported,"mouse, rat",Not reported,Not reported
aclasta-epar-scientific-discussion_en.pdf,EMA,EMEA/H/C/336,Aclasta,zoledronic acid,Small molecule,solution for infusion,intravenous,approved,authorised,01.01.2005,no,Treatment of Paget’s disease of the bone,same,Diseases of the musculoskeletal system and connective tissue,01.01.2005,"rabbit, mouse",Not reported,Not reported,"rat, dog",Not reported,Not reported,"rat, dog",Not reported,Not reported
acomplia-epar-scientific-discussion_en.pdf,EMA,<N/A>,ACOMPLIA,rimonabant,Small molecule,film-coated tablets,oral,withdrawn,withdrawn,01.10.2008,no,"Management of multiple cardiovascular risk factors, weight management, type 2 diabetes, dyslipidaemia, smoking cessation and maintenance of abstinence.",same,"Endocrine, nutritional, and metabolic diseases",01.10.2006,"mouse, rat, rabbit, dog, monkey","CD-1 mouse, Wistar rat, New Zealand White rabbit, Beagle dog, cynomolgus monkey",Not reported,"mouse, rat, rabbit, dog, macaque",Not reported,Not reported,"mouse, rat, rabbit, dog, monkey","CD-1 mouse, Wistar rat, New Zealand White rabbit, Beagle dog, cynomolgus monkey",Not reported
acrescent-epar-refusal-public-assessment-report_en.pdf,EMA,EMA/111381/2013,Acrescent,memantine hydrochloride / donepezil hydrochloride,Small molecule,film-coated tablets,oral,refused,withdrawn,18.10.2012,no,treatment of patients with moderate to moderately severe Alzheimer’s disease who are already on a stable daily dose of 20 mg memantine and 10 mg donepezil,same,Mental and behavioural disorders,01.06.2011,rat,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported
actelsar-hct-epar-public-assessment-report_en.pdf,EMA,EMA/163479/2013,Actelsar HCT,telmisartan / hydrochlorothiazide,Small molecule,tablets,Oral use,approved,authorised,17.01.2013,no,Treatment of essential hypertension.,same,"Endocrine, nutritional, and metabolic diseases",03.05.2012,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported
actos-epar-scientific-discussion_en.pdf,EMA,<N/A>,Actos,Pioglitazone hydrochloride,Small molecule,tablet,oral,approved,authorised,01.10.2003,no,Type 2 diabetes mellitus,same,"Endocrine, nutritional, and metabolic diseases",<N/A>,"mouse, rat, dog","Cynomolgus monkey, rat, mouse",Not reported,"mouse, rat, dog",Not reported,Not reported,"mouse, rat, dog, monkey","Cynomolgus monkey, rat, mouse",Not reported
actraphane-epar-scientific-discussion_en.pdf,EMA,N/A,Actraphane,insulin human,Small molecule,injection,subcutaneous,approved,authorised,01.01.2004,no,treatment of patients with diabetes mellitus,same,"Endocrine, nutritional, and metabolic diseases",N/A,"rat, dog, pig","Wistar rat, Beagle dog",Not reported,"rat, dog, pig",Not reported,Not reported,"rat, mouse",Sprague Dawley rat,Not reported
actrapid-epar-scientific-discussion_en.pdf,EMA,N/A,Actrapid,human insulin,Biologics,solution for injection,subcutaneous,approved,authorised,14.08.2002,no,treatment of diabetes mellitus,same,"Endocrine, nutritional, and metabolic diseases",N/A,"rat, rabbit","Sprague Dawley rat, Wistar rat",Not reported,"rat, pig",Not reported,Not reported,"rat, mouse","Sprague Dawley rat, Not reported",Not reported
adakveo-epar-public-assessment-report_en.pdf,EMA,EMA/427120/2020,Adakveo,crizanlizumab,Biologics,Concentrate for solution for infusion,Intravenous use,withdrawn,withdrawn,23.07.2020,yes,Adakveo is indicated for the prevention of vaso-occlusive crises in sickle cell disease patients aged 16 years and over.,same,Diseases of the blood and blood-forming organs,29.05.2019,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported
